2019-09-11 18:03:32:list index out of range 
2019-09-11 18:03:36:list index out of range 
2019-09-11 21:46:45:local variable 'positioning' referenced before assignment 
2019-09-11 21:47:16:local variable 'positioning' referenced before assignment 
2019-09-11 21:47:47:local variable 'positioning' referenced before assignment 
2019-09-11 21:48:18:local variable 'positioning' referenced before assignment 
2019-09-11 21:48:49:local variable 'positioning' referenced before assignment 
2019-09-11 21:49:19:local variable 'positioning' referenced before assignment 
2019-09-11 21:49:51:local variable 'positioning' referenced before assignment 
2019-09-11 21:50:22:list index out of range 
2019-09-11 21:50:53:local variable 'positioning' referenced before assignment 
2019-09-11 21:51:24:local variable 'positioning' referenced before assignment 
2019-09-11 21:51:55:local variable 'positioning' referenced before assignment 
2019-09-11 21:52:26:local variable 'positioning' referenced before assignment 
2019-09-11 21:52:57:local variable 'positioning' referenced before assignment 
2019-09-11 21:53:28:local variable 'positioning' referenced before assignment 
2019-09-11 21:53:58:local variable 'positioning' referenced before assignment 
2019-09-11 21:54:29:local variable 'positioning' referenced before assignment 
2019-09-11 21:55:00:local variable 'positioning' referenced before assignment 
2019-09-11 21:55:31:local variable 'positioning' referenced before assignment 
2019-09-11 21:56:02:list index out of range 
2019-09-11 21:56:34:local variable 'positioning' referenced before assignment 
2019-09-11 21:57:04:local variable 'positioning' referenced before assignment 
2019-09-11 21:57:35:local variable 'positioning' referenced before assignment 
2019-09-11 21:58:06:local variable 'positioning' referenced before assignment 
2019-09-11 21:58:37:local variable 'positioning' referenced before assignment 
2019-09-11 21:59:08:local variable 'positioning' referenced before assignment 
2019-09-11 21:59:39:local variable 'positioning' referenced before assignment 
2019-09-11 22:00:10:local variable 'positioning' referenced before assignment 
2019-09-11 22:00:41:local variable 'positioning' referenced before assignment 
2019-09-11 22:01:13:local variable 'positioning' referenced before assignment 
2019-09-11 22:01:43:local variable 'positioning' referenced before assignment 
2019-09-11 22:02:14:local variable 'positioning' referenced before assignment 
2019-09-11 22:02:45:local variable 'positioning' referenced before assignment 
2019-09-11 22:03:16:local variable 'positioning' referenced before assignment 
2019-09-11 22:03:47:local variable 'positioning' referenced before assignment 
2019-09-11 22:04:18:local variable 'positioning' referenced before assignment 
2019-09-11 22:04:49:local variable 'positioning' referenced before assignment 
2019-09-11 22:05:20:local variable 'positioning' referenced before assignment 
2019-09-11 22:05:51:local variable 'positioning' referenced before assignment 
2019-09-11 22:06:22:local variable 'positioning' referenced before assignment 
2019-09-11 22:06:53:local variable 'positioning' referenced before assignment 
2019-09-11 22:07:24:local variable 'positioning' referenced before assignment 
2019-09-11 22:07:55:local variable 'positioning' referenced before assignment 
2019-09-11 22:08:25:list index out of range 
2019-09-11 22:08:56:local variable 'positioning' referenced before assignment 
2019-09-11 22:09:27:local variable 'positioning' referenced before assignment 
2019-09-11 22:09:59:local variable 'positioning' referenced before assignment 
2019-09-11 22:10:30:local variable 'positioning' referenced before assignment 
2019-09-11 22:11:01:local variable 'positioning' referenced before assignment 
2019-09-11 22:11:32:local variable 'positioning' referenced before assignment 
2019-09-11 22:12:03:local variable 'positioning' referenced before assignment 
2019-09-11 22:12:34:local variable 'positioning' referenced before assignment 
2019-09-11 22:13:05:local variable 'positioning' referenced before assignment 
2019-09-11 22:13:36:local variable 'positioning' referenced before assignment 
